2015,1,1,30,10,47
2015,1,2,73,44,101
2015,1,3,38,26,59
2015,1,4,39,-3,80
2015,1,5,24,9,38
2015,1,6,28,6,58
2015,1,7,45,24,72
2015,1,8,65,36,82
2015,1,9,99,58,137
2015,1,10,95,54,133
2015,1,11,64,49,82
2015,1,12,84,64,102
2015,1,13,86,41,110
2015,1,14,44,31,60
2015,1,15,79,58,103
2015,1,16,55,27,83
2015,1,17,30,-9,59
2015,1,18,22,10,33
2015,1,19,10,5,16
2015,1,20,8,-22,37
2015,1,21,-5,-19,15
2015,1,22,-12,-29,4
2015,1,23,-28,-57,-13
2015,1,24,22,-17,68
2015,1,25,37,-21,56
2015,1,26,59,41,83
2015,1,27,51,30,77
2015,1,28,53,30,72
2015,1,29,24,2,45
2015,1,30,17,-3,44
2015,1,31,10,-25,44
2015,2,1,26,-15,57
2015,2,2,20,6,55
2015,2,3,17,-16,63
2015,2,4,2,-40,53
2015,2,5,-7,-38,20
2015,2,6,-2,-20,31
2015,2,7,15,-51,55
2015,2,8,50,34,67
2015,2,9,57,44,72
2015,2,10,57,46,72
2015,2,11,42,31,54
2015,2,12,26,-3,45
2015,2,13,46,-3,99
2015,2,14,66,47,102
2015,2,15,26,-35,67
2015,2,16,9,-49,77
2015,2,17,33,-30,90
2015,2,18,18,-34,81
2015,2,19,35,-3,74
2015,2,20,53,34,65
2015,2,21,32,4,63
2015,2,22,32,-18,68
2015,2,23,59,27,98
2015,2,24,54,35,89
2015,2,25,48,16,87
2015,2,26,63,37,83
2015,2,27,49,-3,82
2015,2,28,51,-5,91
2015,3,1,83,60,107
2015,3,2,53,16,84
2015,3,3,44,30,75
2015,3,4,51,28,76
2015,3,5,57,11,103
2015,3,6,66,46,90
2015,3,7,84,40,139
2015,3,8,93,40,157
2015,3,9,88,67,113
2015,3,10,76,-7,113
2015,3,11,27,-20,95
2015,3,12,54,-29,127
2015,3,13,46,7,92
2015,3,14,34,7,53
2015,3,15,56,45,68
2015,3,16,63,6,128
2015,3,17,76,-17,178
2015,3,18,56,6,88
2015,3,19,68,7,126
2015,3,20,49,6,93
2015,3,21,64,39,93
2015,3,22,43,-15,86
2015,3,23,31,-29,93
2015,3,24,57,-21,115
2015,3,25,59,50,69
2015,3,26,50,3,73
2015,3,27,57,-4,89
2015,3,28,69,-6,117
2015,3,29,93,75,113
2015,3,30,72,53,91
2015,3,31,90,58,111
2015,4,1,65,34,91
2015,4,2,63,41,86
2015,4,3,70,45,95
2015,4,4,54,18,94
2015,4,5,53,-22,113
2015,4,6,69,16,117
2015,4,7,71,6,132
2015,4,8,86,39,142
2015,4,9,104,19,181
2015,4,10,113,27,196
2015,4,11,90,26,136
2015,4,12,100,21,155
2015,4,13,84,41,128
2015,4,14,119,32,200
2015,4,15,138,54,230
2015,4,16,99,64,134
2015,4,17,85,52,129
2015,4,18,90,41,144
2015,4,19,78,-6,152
2015,4,20,109,43,171
2015,4,21,100,22,174
2015,4,22,85,34,121
2015,4,23,94,37,155
2015,4,24,124,15,204
2015,4,25,121,86,150
2015,4,26,106,79,139
2015,4,27,80,-3,126
2015,4,28,60,-22,118
2015,4,29,89,14,147
2015,4,30,98,58,142
2015,5,1,87,31,133
2015,5,2,97,4,158
2015,5,3,130,69,170
2015,5,4,154,117,194
2015,5,5,154,86,222
2015,5,6,122,85,155
2015,5,7,118,75,162
2015,5,8,142,78,194
2015,5,9,133,91,161
2015,5,10,128,42,191
2015,5,11,176,91,256
2015,5,12,146,112,175
2015,5,13,127,76,181
2015,5,14,112,59,167
2015,5,15,94,39,144
2015,5,16,105,41,149
2015,5,17,119,68,162
2015,5,18,111,77,140
2015,5,19,100,74,137
2015,5,20,105,67,147
2015,5,21,119,25,174
2015,5,22,149,86,199
2015,5,23,124,60,157
2015,5,24,126,25,199
2015,5,25,124,97,153
2015,5,26,118,75,158
2015,5,27,135,54,189
2015,5,28,129,57,165
2015,5,29,111,56,158
2015,5,30,112,66,154
2015,5,31,126,79,165
2015,6,1,127,61,161
2015,6,2,148,111,177
2015,6,3,138,63,177
2015,6,4,156,46,220
2015,6,5,214,95,318
2015,6,6,156,85,189
2015,6,7,139,71,189
2015,6,8,125,79,172
2015,6,9,116,75,150
2015,6,10,154,89,208
2015,6,11,179,93,240
2015,6,12,216,128,274
2015,6,13,175,141,213
2015,6,14,153,123,195
2015,6,15,133,76,175
2015,6,16,114,45,177
2015,6,17,160,53,227
2015,6,18,143,115,166
2015,6,19,127,103,153
2015,6,20,130,97,163
2015,6,21,144,121,185
2015,6,22,127,76,153
2015,6,23,126,94,151
2015,6,24,158,117,215
2015,6,25,182,114,240
2015,6,26,205,134,250
2015,6,27,176,103,218
2015,6,28,173,88,232
2015,6,29,180,112,242
2015,6,30,206,97,273
2015,7,1,260,158,331
2015,7,2,254,190,331
2015,7,3,241,169,291
2015,7,4,256,179,327
2015,7,5,202,157,282
2015,7,6,187,139,238
2015,7,7,198,125,258
2015,7,8,159,127,196
2015,7,9,135,72,176
2015,7,10,165,68,226
2015,7,11,204,139,287
2015,7,12,177,156,204
2015,7,13,174,163,196
2015,7,14,179,140,213
2015,7,15,179,144,211
2015,7,16,196,120,251
2015,7,17,217,175,256
2015,7,18,182,145,221
2015,7,19,162,119,205
2015,7,20,178,96,214
2015,7,21,210,175,254
2015,7,22,195,163,231
2015,7,23,178,136,217
2015,7,24,184,134,233
2015,7,25,149,112,183
2015,7,26,148,86,209
2015,7,27,166,142,197
2015,7,28,152,125,189
2015,7,29,141,109,176
2015,7,30,138,76,181
2015,7,31,133,51,194
2015,8,1,151,61,220
2015,8,2,177,77,242
2015,8,3,215,124,300
2015,8,4,180,138,215
2015,8,5,189,103,250
2015,8,6,205,133,284
2015,8,7,206,126,270
2015,8,8,187,130,230
2015,8,9,186,103,243
2015,8,10,198,147,252
2015,8,11,200,137,254
2015,8,12,195,163,230
2015,8,13,217,146,284
2015,8,14,209,169,254
2015,8,15,184,158,221
2015,8,16,150,129,166
2015,8,17,143,129,152
2015,8,18,146,134,168
2015,8,19,165,116,225
2015,8,20,179,104,249
2015,8,21,197,137,253
2015,8,22,207,141,265
2015,8,23,197,149,259
2015,8,24,179,133,231
2015,8,25,167,140,199
2015,8,26,202,165,252
2015,8,27,157,135,185
2015,8,28,154,98,209
2015,8,29,170,81,236
2015,8,30,200,145,253
2015,8,31,209,175,265
2015,9,1,161,120,195
2015,9,2,132,79,188
2015,9,3,122,66,171
2015,9,4,135,116,166
2015,9,5,132,93,169
2015,9,6,131,91,170
2015,9,7,142,123,169
2015,9,8,139,82,169
2015,9,9,131,71,185
2015,9,10,143,91,196
2015,9,11,143,93,201
2015,9,12,157,113,202
2015,9,13,166,125,194
2015,9,14,145,113,198
2015,9,15,125,98,159
2015,9,16,154,110,192
2015,9,17,144,125,164
2015,9,18,139,99,184
2015,9,19,134,85,175
2015,9,20,135,71,181
2015,9,21,146,110,186
2015,9,22,131,91,174
2015,9,23,132,104,173
2015,9,24,126,108,157
2015,9,25,116,52,168
2015,9,26,104,34,168
2015,9,27,110,46,175
2015,9,28,105,44,160
2015,9,29,117,58,174
2015,9,30,123,81,175
2015,10,1,106,49,169
2015,10,2,103,33,183
2015,10,3,103,44,188
2015,10,4,103,46,179
2015,10,5,131,57,169
2015,10,6,153,131,176
2015,10,7,149,137,176
2015,10,8,124,58,159
2015,10,9,102,40,163
2015,10,10,109,59,143
2015,10,11,65,23,115
2015,10,12,48,9,102
2015,10,13,38,12,59
2015,10,14,51,20,80
2015,10,15,63,28,80
2015,10,16,77,67,84
2015,10,17,81,73,90
2015,10,18,84,37,109
2015,10,19,105,52,125
2015,10,20,95,51,126
2015,10,21,97,47,125
2015,10,22,119,72,148
2015,10,23,114,68,141
2015,10,24,118,101,138
2015,10,25,99,30,143
2015,10,26,105,30,158
2015,10,27,111,59,173
2015,10,28,106,72,133
2015,10,29,107,49,156
2015,10,30,102,65,150
2015,10,31,98,65,143
2015,11,1,77,30,160
2015,11,2,69,9,159
2015,11,3,90,13,157
2015,11,4,122,77,154
2015,11,5,133,112,154
2015,11,6,155,139,171
2015,11,7,164,141,185
2015,11,8,131,76,173
2015,11,9,136,120,160
2015,11,10,145,133,156
2015,11,11,127,116,138
2015,11,12,133,117,153
2015,11,13,114,77,136
2015,11,14,97,77,119
2015,11,15,143,119,150
2015,11,16,125,113,137
2015,11,17,135,109,156
2015,11,18,131,110,145
2015,11,19,112,82,138
2015,11,20,79,48,97
2015,11,21,43,8,63
2015,11,22,26,0,57
2015,11,23,32,-26,80
2015,11,24,42,31,66
2015,11,25,54,22,79
2015,11,26,40,0,96
2015,11,27,45,8,65
2015,11,28,67,45,87
2015,11,29,102,74,125
2015,11,30,95,65,126
2015,12,1,97,68,124
2015,12,2,110,94,119
2015,12,3,98,84,127
2015,12,4,94,82,112
2015,12,5,79,72,91
2015,12,6,105,74,124
2015,12,7,105,88,124
2015,12,8,98,73,120
2015,12,9,76,54,99
2015,12,10,59,49,77
2015,12,11,70,54,88
2015,12,12,76,33,117
2015,12,13,68,39,117
2015,12,14,76,64,100
2015,12,15,74,48,91
2015,12,16,114,89,129
2015,12,17,136,124,153
2015,12,18,118,106,130
2015,12,19,122,106,141
2015,12,20,116,97,137
2015,12,21,104,84,118
2015,12,22,130,103,144
2015,12,23,106,73,133
2015,12,24,98,64,134
2015,12,25,96,65,140
2015,12,26,131,111,144
2015,12,27,118,102,131
2015,12,28,89,65,121
2015,12,29,75,54,103
2015,12,30,69,49,91
2015,12,31,78,55,105
